iter	RMSE
0	0.3976574264
1	0.3962315508
2	0.3949318236
3	0.3935942046
4	0.3922705711
5	0.3909102135
6	0.3895981128
7	0.3881882671
8	0.3868931134
9	0.3856215051
10	0.3842508143
11	0.3829749869
12	0.3816584323
13	0.3804794148
14	0.3792796846
15	0.3779423527
16	0.3766788578
17	0.375443553
18	0.3742084827
19	0.3729050923
20	0.3716988742
21	0.3705394914
22	0.3693185256
23	0.3680437974
24	0.3668634354
25	0.3657000462
26	0.3644672924
27	0.3633224465
28	0.3621167474
29	0.3609337732
30	0.3597916668
31	0.3586737851
32	0.3575511388
33	0.3563798663
34	0.3552361236
35	0.3541076771
36	0.3529577284
37	0.3517807643
38	0.35074351
39	0.3496555748
40	0.348487483
41	0.3473963516
42	0.3462784923
43	0.3451420011
44	0.3439637346
45	0.3428283886
46	0.3417767529
47	0.3406760991
48	0.3396170035
49	0.3385538917
50	0.3375083326
51	0.3365340285
52	0.3354604633
53	0.3344629946
54	0.3334517227
55	0.332411792
56	0.3313992943
57	0.3303075685
58	0.3292584638
59	0.3282752495
60	0.3272612202
61	0.3261724139
62	0.3252467882
63	0.3242287337
64	0.3232186938
65	0.3222147593
66	0.3212798032
67	0.320289809
68	0.319302307
69	0.318466022
70	0.3175266805
71	0.3165762282
72	0.3156279034
73	0.3147033942
74	0.3137247122
75	0.3128615912
76	0.3118563929
77	0.3109203724
78	0.3100454926
79	0.3091850231
80	0.3082680884
81	0.3073817972
82	0.306470199
83	0.3055581099
84	0.3046456593
85	0.3037460732
86	0.3028103746
87	0.3019000457
88	0.3010207818
89	0.3000982541
90	0.2992605496
91	0.2983644817
92	0.2974688931
93	0.2966119827
94	0.2957593772
95	0.2948966711
96	0.2940098954
97	0.2931554129
98	0.2922492724
99	0.2913912267
100	0.2906106682
101	0.2897118799
102	0.2888409981
103	0.2879925037
104	0.2871529144
105	0.2863452651
106	0.2855153516
107	0.2847159363
108	0.283912241
109	0.2830774864
110	0.2822177552
111	0.2814817892
112	0.2806622723
113	0.2799391712
114	0.2791584649
115	0.2783590541
116	0.2775769287
117	0.2768108104
118	0.2760277278
119	0.2752601287
120	0.2745736199
121	0.2738428533
122	0.273049548
123	0.2722434775
124	0.2714508983
125	0.2706894228
126	0.2699783107
127	0.2693125608
128	0.2685593238
129	0.267790413
130	0.2671101164
131	0.2663898466
132	0.2657934505
133	0.265096842
134	0.2644571137
135	0.2637632476
136	0.2631512342
137	0.2624712407
138	0.261769413
139	0.2610517496
140	0.2603512189
141	0.259611179
142	0.2589506288
143	0.2582809357
144	0.2576336244
145	0.2569358464
146	0.2562709265
147	0.2555805374
148	0.2548556368
149	0.2542505088
150	0.2535735278
151	0.2529007167
152	0.2522696826
153	0.2516475466
154	0.2509765306
155	0.250333395
156	0.249727061
157	0.2490796653
158	0.2484194611
159	0.2478158495
160	0.2471896468
161	0.2465949633
162	0.2459531577
163	0.2453576153
164	0.2446977436
165	0.2440228875
166	0.2433981456
167	0.2427666216
168	0.2421729979
169	0.2415830497
170	0.2409731332
171	0.2403546752
172	0.2397603734
173	0.2391446618
174	0.2385518957
175	0.2379094329
176	0.2372956335
177	0.2367179386
178	0.2361244075
179	0.2354966221
180	0.234916829
181	0.234389937
182	0.2338687306
183	0.2332893706
184	0.2327450317
185	0.2321663353
186	0.23165182
187	0.2311123082
188	0.2305142059
189	0.2299678513
190	0.229422047
191	0.2288914909
192	0.228365674
193	0.2278035447
194	0.2272352797
195	0.2267053609
196	0.2262046868
197	0.2256465625
198	0.2251613722
199	0.2246214334
200	0.224089551
201	0.2235749847
202	0.2230631511
203	0.2225643478
204	0.2221116181
205	0.2215863195
206	0.2211229201
207	0.2205778973
208	0.2200553435
209	0.219545731
210	0.2190426266
211	0.21856669
212	0.2180716463
213	0.2175942726
214	0.2171114838
215	0.2165969412
216	0.2161088016
217	0.215614783
218	0.2151844188
219	0.2146913556
220	0.214214943
221	0.2137553127
222	0.2133059245
223	0.2128028764
224	0.2123925786
225	0.2119086183
226	0.211491101
227	0.2110066035
228	0.2105730139
229	0.2101439074
230	0.2097265186
231	0.2092713695
232	0.2088043617
233	0.208331902
234	0.207889791
235	0.2074344152
236	0.2070224117
237	0.2065646857
238	0.2061203595
239	0.2057039835
240	0.2053000992
241	0.2048795647
242	0.2044459242
243	0.2040156509
244	0.2035870665
245	0.2031404001
246	0.2027176943
247	0.2023511669
248	0.20197598
249	0.2015947537
250	0.201205816
251	0.2007912851
252	0.2003733118
253	0.1999795515
254	0.1995679167
255	0.1991681129
256	0.1987837747
257	0.1983959562
258	0.1980009965
259	0.1976217386
260	0.197230423
261	0.1968625469
262	0.1964696361
263	0.1960577834
264	0.19572998
265	0.1953619703
266	0.1949680659
267	0.1945833963
268	0.1942444163
269	0.1938672872
270	0.1934938694
271	0.1931625716
272	0.192834272
273	0.1924298157
274	0.1921045677
275	0.1917408554
276	0.1913616522
277	0.1910148181
278	0.1906256378
279	0.1902597001
280	0.1899088579
281	0.1895680227
282	0.1891968834
283	0.1888561871
284	0.1884819536
285	0.1881462446
286	0.187815842
287	0.1874836479
288	0.1871325995
289	0.1867748669
290	0.1864245463
291	0.1860926993
292	0.1857637857
293	0.1854786769
294	0.1851513707
295	0.1848382327
296	0.1845144523
297	0.1842033702
298	0.183880891
299	0.1835727527
300	0.1832649833
301	0.1829635885
302	0.1826279133
303	0.1822934188
